Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:12.A1,"urn:cite:hmt:vaimg.VA154VN-0656@0.2625,0.1128,0.6713,0.0301",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msA.hmt:12.A2,"urn:cite:hmt:vaimg.VA154VN-0656@0.2563,0.139,0.6837,0.0473",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msA.hmt:12.A3,"urn:cite:hmt:vaimg.VA154VN-0656@0.3203,0.1675,0.5836,0.0248",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msA.hmt:12.A4,"urn:cite:hmt:vaimg.VA154VN-0656@0.2515,0.1835,0.6864,0.0263",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msA.hmt:12.A5,"urn:cite:hmt:vaimg.VA154VN-0656@0.2513,0.2051,0.2232,0.0609",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msA.hmt:12.A6,"urn:cite:hmt:vaimg.VA154VN-0656@0.2503,0.2577,0.2142,0.0826",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msA.hmt:12.A7,"urn:cite:hmt:vaimg.VA154VN-0656@0.2505,0.3361,0.2104,0.0504",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msA.hmt:12.A8,"",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msA.hmt:12.A8,"",urn:cite:hmt:msA.154v
urn:cts:greekLit:tlg5026.msA.hmt:12.A8,"",urn:cite:hmt:msA.154v
